"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"127",2015-11-04,"2015-11",4,0,15.3833333333333,0.845833333333333,16.1791666666667,0,2.15416666666667,4044.83333333333,4112.875,4371.125,3143.95833333333,-68.0416666666665
"128",2015-11-05,"2015-11",5,0,16.625,0.6,18.1083333333333,0,0.225000000000001,3626.70833333333,3702.25,4473.25,2840.95833333333,-75.5416666666665
"129",2015-11-06,"2015-11",6,1,18.7916666666667,1.15416666666667,19.4958333333333,1.1625,0,4689.58333333333,4147.75,3978.41666666667,3250.16666666667,541.833333333333
"130",2015-11-07,"2015-11",7,1,17.225,1.12083333333333,18.1333333333333,0,0.200000000000003,6474.08333333333,5355.5,5415,3085.75,1118.58333333333
"131",2015-11-08,"2015-11",1,0,7.02083333333333,1.4625,9.9875,0,8.34583333333333,8630.66666666667,8376.45833333333,8874.91666666667,3736.83333333333,254.208333333332
"132",2015-11-09,"2015-11",2,0,8.21666666666667,1.775,8.77916666666667,0,9.55416666666667,4711.5,4502.33333333333,5117.875,3231.58333333333,209.166666666667
"133",2015-11-10,"2015-11",3,0,10.425,0.991666666666667,12.5791666666667,0,5.75416666666667,3208.04166666667,3806.70833333333,4096.91666666667,2784.66666666667,-598.666666666667
"134",2015-11-11,"2015-11",4,0,6.62916666666667,0.725,11.0041666666667,0,7.32916666666667,3503,3909.375,3981.54166666667,1853,-406.375
"135",2015-11-12,"2015-11",5,0,12.1166666666667,1.47916666666667,13.7791666666667,0,4.55416666666667,4225.41666666667,4364.41666666667,4572.66666666667,3226.20833333333,-139
"136",2015-11-13,"2015-11",6,1,4.2125,1.27083333333333,9.22083333333333,0,9.1125,3545.95833333333,3589.95833333333,4854.54166666667,2019.41666666667,-44
"137",2015-11-14,"2015-11",7,1,0.504166666666667,1.00833333333333,6.15833333333333,0,12.175,2098.70833333333,5205.625,6328.33333333333,1271.08333333333,-3106.91666666667
"138",2015-11-15,"2015-11",1,0,0.304166666666667,0.745833333333333,6.90416666666667,0,11.4291666666667,2991.75,3004.83333333333,6019.875,1689.45833333333,-13.0833333333335
"139",2015-11-16,"2015-11",2,0,1.725,0.716666666666667,9.45416666666667,0,8.87916666666667,3680.625,3206.45833333333,4734.83333333333,2329.91666666667,474.166666666667
"140",2015-11-17,"2015-11",3,0,6.5625,0.920833333333333,10.5416666666667,0,7.79166666666667,3374.20833333333,3664.16666666667,4115,3207.70833333333,-289.958333333333
"141",2015-11-18,"2015-11",4,0,14.0291666666667,1.54166666666667,14.9458333333333,0,3.3875,4358.79166666667,3935.16666666667,5011.45833333333,3388.54166666667,423.625
"142",2015-11-19,"2015-11",5,0,16.4541666666667,1.07916666666667,17.5666666666667,0,0.766666666666669,3993.91666666667,4246.5,4200.83333333333,3209.625,-252.583333333333
"143",2015-11-20,"2015-11",6,1,4.35,1.15833333333333,8.775,0,9.55833333333334,3947.04166666667,3696.33333333333,3923.66666666667,2614.08333333333,250.708333333333
"144",2015-11-21,"2015-11",7,1,3.37083333333333,0.8125,7.41666666666667,0,10.9166666666667,1907.54166666667,4822.41666666667,6473.33333333333,1700.54166666667,-2914.875
"145",2015-11-22,"2015-11",1,0,2.39583333333333,1.29166666666667,6.19583333333333,0,12.1375,3367.16666666667,5922.79166666667,6378.75,2448.75,-2555.625
